code,system
E2C1.00,readv2
E2C0.00,readv2
E2C1z00,readv2
Eu91111,readv2
E2C0z00,readv2
Eu92.00,readv2
E284.00,readv2
Eu92z00,readv2
E2C4.00,readv2
E2C4z00,readv2
E2Czz00,readv2
E2C..00,readv2
E2C2z00,readv2
E2C2.00,readv2
E2E2.00,readv2
Eu90100,readv2
Eu92y00,readv2
Eu91y00,readv2
E2Cy.00,readv2
E2Cyz00,readv2
Eu91000,readv2
Eu90111,readv2
Eu92y11,readv2
Eu92y12,readv2
Eu91z12,readv2
Eu91z11,readv2
E2Dy000,readv2
Eu91300,readv2
Eu92000,readv2
Eu91200,readv2
Eu91.00,readv2
Eu91z00,readv2
E2Cz.00,readv2
Eu91100,readv2